asf_case_id,institution_id,match_basis,confidence,note
11,1332,exact_norm,high,
12,1332,exact_norm,high,
13,1332,exact_norm,high,
14,278,exact_norm,high,
15,302,exact_norm,high,
16,302,exact_norm,high,
17,302,exact_norm,high,
18,384,exact_norm,high,
19,384,exact_norm,high,
20,1212,exact_norm,high,
21,1212,exact_norm,high,
22,1212,exact_norm,high,
23,3731,exact_norm,high,
24,3728,exact_norm,high,
25,3712,exact_norm,high,
26,3668,exact_norm,high,
27,3668,exact_norm,high,
28,3754,exact_norm,high,
29,1535,exact_norm,high,
31,1288,exact_norm,high,
32,297,exact_norm,high,
33,411,exact_norm,high,
34,411,exact_norm,high,
35,3671,exact_norm,high,
36,3671,exact_norm,high,
37,3671,exact_norm,high,
38,3671,exact_norm,high,
39,3671,exact_norm,high,
40,3671,exact_norm,high,
41,3671,exact_norm,high,
42,3671,exact_norm,high,
43,3671,exact_norm,high,
44,3671,exact_norm,high,
45,3671,exact_norm,high,
46,16,exact_norm_dup,high,
46,1413,exact_norm_dup,high,
47,2682,exact_norm,high,
48,328,exact_norm,high,
49,328,exact_norm,high,
50,328,exact_norm,high,
51,328,exact_norm,high,
52,406,exact_norm,high,
53,406,exact_norm,high,
54,404,exact_norm,high,
55,404,exact_norm,high,
56,404,exact_norm,high,
57,404,exact_norm,high,
58,404,exact_norm,high,
59,194,exact_norm,high,
60,56,exact_norm,high,
61,155,exact_norm,high,
62,155,exact_norm,high,
63,155,exact_norm,high,
64,155,exact_norm,high,
65,3771,exact_norm,high,
66,104,alias,medium,CFE parent buyer; RUBLI has no per-EPS split
67,104,alias,medium,CFE parent buyer; RUBLI has no per-EPS split
68,104,alias,medium,CFE parent buyer; RUBLI has no per-EPS split
69,104,alias,low,CFE subsidiary EPS audited; attached to parent buyer
70,104,alias,low,CFE subsidiary EPS audited; attached to parent buyer
71,104,alias,low,CFE subsidiary EPS audited; attached to parent buyer
72,1201,alias,high,'Petróleos Mexicanos (Corporativo)'
72,315,alias,medium,legacy 'PETRÓLEOS MEXICANOS' record
73,1201,alias,high,'Petróleos Mexicanos (Corporativo)'
73,315,alias,medium,legacy 'PETRÓLEOS MEXICANOS' record
74,1201,alias,high,'Petróleos Mexicanos (Corporativo)'
74,315,alias,medium,legacy 'PETRÓLEOS MEXICANOS' record
75,311,exact_norm_dup,high,
75,1232,exact_norm_dup,high,
76,311,exact_norm_dup,high,
76,1232,exact_norm_dup,high,
82,1238,exact_norm,high,
83,370,exact_norm,high,
84,370,exact_norm,high,
85,1202,exact_norm,high,
86,1665,exact_norm,high,
87,3503,exact_norm,high,
88,3503,exact_norm,high,
89,453,exact_norm,high,
90,612,exact_norm,high,
91,612,exact_norm,high,
92,458,exact_norm,high,
93,399,exact_norm,high,
94,3749,exact_norm,high,
95,925,exact_norm,high,
96,63,exact_norm_dup,high,
96,1220,exact_norm_dup,high,
97,1050,exact_norm,high,
101,269,exact_norm,high,
102,438,exact_norm,high,
103,382,exact_norm,high,
104,3714,exact_norm_dup,high,
104,3802,exact_norm_dup,high,
105,36,exact_norm,high,
106,119,exact_norm,high,
107,121,exact_norm,high,
108,1544,exact_norm,high,
109,960,exact_norm,high,
110,3744,exact_norm,high,
111,3744,exact_norm,high,
112,1226,exact_norm,high,
113,274,exact_norm,high,
114,1759,exact_norm,high,
115,387,exact_norm,high,
116,387,exact_norm,high,
117,117,exact_norm,high,
118,117,exact_norm,high,
119,117,exact_norm,high,
120,120,exact_norm,high,
121,327,exact_norm,high,
122,228,exact_norm,high,
123,228,exact_norm,high,
124,228,exact_norm,high,
125,251,exact_norm,high,
126,251,exact_norm,high,
127,1324,exact_norm,high,
128,1324,exact_norm,high,
129,1324,exact_norm,high,
130,1324,exact_norm,high,
131,1324,exact_norm,high,
132,2596,exact_norm,high,
133,1255,exact_norm,high,
134,1255,exact_norm,high,
135,1259,exact_norm,high,
251,1324,exact_norm,high,
262,3746,alias,high,RUBLI '_Gobierno del Estado de Ciudad de México'
263,3823,exact_norm,high,
264,1333,state_prefixed,high,
265,4022,exact_norm,high,
266,2184,state_prefixed,high,
267,802,exact_norm,high,
268,66,exact_norm,high,
269,808,exact_norm,high,
271,1009,exact_norm,high,
272,623,exact_norm,high,
273,3927,exact_norm,high,
274,3958,exact_norm,high,
275,971,state_prefixed,high,
275,3273,state_prefixed,high,
276,2564,state_prefixed,high,
277,3809,exact_norm,high,
278,4014,exact_norm,high,
279,3816,exact_norm,high,
280,4075,state_prefixed,high,
281,4032,exact_norm,high,
282,2829,state_prefixed,high,
284,3406,state_prefixed,high,
288,4447,exact_norm,high,
289,2925,state_prefixed,high,
290,614,exact_norm,high,
291,3460,state_prefixed,high,
292,470,exact_norm,high,
295,928,exact_norm,high,
296,1006,exact_norm,high,
298,4182,exact_norm,high,
299,2572,state_prefixed,high,
300,4290,exact_norm,high,
301,4130,exact_norm,high,
302,3879,exact_norm,high,
303,4070,exact_norm,high,
304,4287,exact_norm,high,
305,478,exact_norm,high,
306,464,exact_norm,high,
307,468,exact_norm,high,
309,439,exact_norm,high,
310,441,exact_norm,high,
311,806,exact_norm,high,
312,488,exact_norm,high,
314,1095,exact_norm,high,
315,463,exact_norm,high,
316,475,exact_norm,high,
317,4250,exact_norm,high,
318,69,exact_norm,high,
321,800,state_prefixed,medium,
321,1930,state_prefixed,medium,
322,4113,exact_norm,high,
323,2924,state_prefixed,medium,
324,472,exact_norm,high,
325,545,exact_norm,high,
326,67,exact_norm,high,
327,1012,exact_norm,high,
328,1835,state_prefixed,high,
329,3861,exact_norm,high,
331,4194,state_prefixed,high,
333,2984,state_prefixed,high,
335,3345,state_prefixed,high,
337,1230,state_prefixed,high,
338,1296,state_prefixed,high,
340,3894,exact_norm,high,
341,3136,state_prefixed,high,
345,4173,exact_norm,high,
347,4092,exact_norm,high,
348,1652,state_prefixed,medium,
348,2321,state_prefixed,medium,
349,616,exact_norm,high,
350,4331,state_prefixed,high,
351,619,exact_norm,high,
352,929,exact_norm,high,
353,1678,state_prefixed,medium,
354,4383,exact_norm,high,
355,2947,state_prefixed,medium,
356,466,exact_norm,high,
357,3998,exact_norm,high,
360,930,exact_norm,high,
361,1094,exact_norm,high,
362,2543,state_prefixed,high,
363,467,exact_norm,high,
364,1534,state_prefixed,high,
365,620,exact_norm,high,
366,624,exact_norm,high,
367,798,exact_norm,high,
368,459,exact_norm,high,
369,2691,state_prefixed,medium,
370,621,exact_norm,high,
371,1294,state_prefixed,high,
371,4027,state_prefixed,high,
373,2649,state_prefixed,high,
377,4403,exact_norm,high,
379,3208,state_prefixed,high,
379,4316,state_prefixed,high,
380,4043,exact_norm,high,
381,2004,state_prefixed,high,
382,2755,state_prefixed,medium,
383,1714,state_prefixed,high,
384,809,exact_norm,high,
385,613,state_prefixed,medium,
385,2051,state_prefixed,medium,
386,3857,exact_norm,high,
387,2716,state_prefixed,medium,
388,1011,exact_norm,high,
389,3118,state_prefixed,high,
398,4118,exact_norm,high,
399,1428,state_prefixed,high,
400,1616,state_prefixed,high,
402,1159,state_prefixed,medium,
403,68,exact_norm,high,
