case_id,case_code,case_name,case_type,confidence_level,vendor_id,vendor_name,sector,year_window,year_start,year_end,has_institution_filter,total_contracts,in_window_contracts,out_window_contracts,noise_pct,total_value_mxn,in_window_value_mxn,out_window_value_mxn
3,IMSS_GHOST_COMPANIES_2012_2018,IMSS Ghost Company Network,ghost_company,high,4335,"LABORATORIOS PISA, S.A. DE C.V.",Salud,2012-2018,2012,2018,no,9173,2073,7100,77.4,55384742776.44,7267651886.85,48117090889.59
1,COVID_PROCUREMENT_2020_2021,COVID-19 Emergency Procurement Irregularities,embezzlement,medium,13885,"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO, S.A. DE C.V.",Salud,2020-2022,2020,2022,no,4305,48,4257,98.9,51383432749.98,726730520.95,50656702229.03
5,SEGALMEX,Segalmex Food Distribution Fraud,procurement_fraud,high,10775,"LICONSA, S.A. DE C.V.",Agricultura,2019-2023,2019,2023,no,5858,1787,4071,69.5,4223248101.38,1380470314.7,2842777786.69
168,FARMACEUTICOS_MAYPO_BIRMEX_ASF,Farmaceuticos MAYPO BIRMEX Sub-Contract 88B 82%DA - ASF Documented,monopoly,medium,2873,FARMACEUTICOS MAYPO S.A DE C.V,Salud,2010-2025,2010,2025,no,18216,16712,1504,8.3,86243450104.16,78807705371.02,7435744733.14
119,EFECTIVALE_GUARDIA_NACIONAL_FUEL_DA_2020,Efectivale S de RL de CV — Guardia Nacional 3.13B Fuel/Voucher Services (2.08B Single DA 2020),overpricing,medium,64,"EFECTIVALE,S.A. DE C.V.",Energia,2019-2025,2019,2025,no,1150,0,1150,100.0,15252270790.34,0.0,15252270790.34
181,FARMACOS_ESP_CENSIDA_HIV_DA_2350M,Farmacos Especializados CENSIDA HIV Drug Direct Award Monopoly 2.35B,procurement_fraud,medium,506,"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",Salud,2010-2013,2010,2013,no,1384,302,1082,78.2,12413748527.76,4148688047.39,8265060480.37
67,VITALMEX_IMSS_COVID_OVERPRICING_2019,"Vitalmex Internacional SA de CV — IMSS/ISSSTE 32B COVID-Era Medical Supply Overpricing (70-78% DA, 2019-2024)",overpricing,medium,4325,"VITALMEX INTERNACIONAL, S.A. DE C.V.",Salud,2005-2020,2005,2020,no,999,471,528,52.9,32038499919.3,17184597642.18,14853902277.12
88,VITALMEX_ISSSTE_CARDIOVASCULAR_MONOPOLY_2002,Vitalmex Internacional SA de CV — 32.06B ISSSTE+IMSS+SEDENA (15.44B ISSSTE @72.8%DA cardiovascular monopoly),overpricing,high,4325,"VITALMEX INTERNACIONAL, S.A. DE C.V.",Salud,2005-2020,2005,2020,no,999,471,528,52.9,32038499919.3,17184597642.18,14853902277.12
165,VITALMEX_COFECE_CARTEL_MEDICO,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,4325,"VITALMEX INTERNACIONAL, S.A. DE C.V.",Salud,2005-2020,2005,2020,no,999,471,528,52.9,32038499919.3,17184597642.18,14853902277.12
87,GRUPO_JACARIC_IMSS_DA_2021,"Grupo Jacaric SA de CV — IMSS 776M (610M DA cluster 2021, 95.3%DA, 1162 contracts, no RFC)",overpricing,high,168261,"GRUPO JACARIC, S.A. DE C.V.",Salud,2019-2022,2019,2022,no,1140,640,500,43.9,772790933.73,751149973.98,21640959.75
